policy_id,policy_number,customer_id,agent_id,coverage_id,line_of_business,policy_status,effective_date,expiration_date,policy_term_months,annual_premium,monthly_premium,deductible,coverage_limit,payment_plan,cancellation_date,cancellation_reason,underwriting_score,risk_state,created_date,modified_date
"POL0000001","PC-AUT-183013","CUST001758","AGT00002","COV007","Auto","Cancelled","2021-12-29","2023-12-19",24,1559.54,129.96,5000.00,50000.00,"Annual","2023-11-26","Underwriting","884.0","MN","2021-12-29","2022-03-30"
"POL0000002","PC-COM-183424","CUST001231","AGT00173","COV029","Commercial","Pending Renewal","2022-03-25","2023-03-20",12,20208.24,1684.02,2500.00,100000.00,"Semi-Annual",,,,"CA","2022-03-25","2022-04-20"
"POL0000003","PC-AUT-734561","CUST001657","AGT00111","COV001","Auto","Active","2021-10-03","2022-09-28",12,2682.85,223.57,250.00,1000000.00,"Monthly",,,"729.0","CA","2021-10-03","2022-07-05"
"POL0000004","PC-AUT-805050","CUST000038","AGT00101","COV001","Auto","Pending Renewal","2021-06-17","2022-06-12",12,3372.90,281.07,5000.00,250000.00,"Semi-Annual",,,"668.0","PA","2021-06-17","2021-07-03"
"POL0000005","PC-HOM-671833","CUST000798","AGT00116","COV013","Homeowners","Expired","2021-10-16","2022-04-14",6,6990.52,582.54,1000.00,250000.00,"Monthly",,,"591.0","IL","2021-10-16","2023-02-04"
"POL0000006","PC-COM-226665","CUST000968","AGT00015","COV022","Commercial","Active","2019-11-05","2020-10-30",12,53544.71,4462.06,5000.00,100000.00,"Monthly",,,"742.0","NV","2019-11-05","2021-02-05"
"POL0000007","PC-COM-999274","CUST001919","AGT00114","COV021","Commercial","Suspended","2022-08-24","2023-08-19",12,49987.90,4165.66,250.00,500000.00,"Monthly",,,,"CO","2022-08-24","2022-12-17"
"POL0000008","PC-AUT-989016","CUST000666","AGT00088","COV007","Auto","Expired","2018-12-18","2019-06-16",6,6784.25,565.35,1000.00,1000000.00,"Quarterly",,,"788.0","OH","2018-12-18","2019-05-30"
"POL0000009","PC-COM-536058","CUST001609","AGT00188","COV025","Commercial","Suspended","2021-11-20","2022-05-19",6,44560.91,3713.41,250.00,250000.00,"Monthly",,,"539.0","FL","2021-11-20","2023-10-09"
"POL0000010","PC-HOM-545348","CUST000810","AGT00005","COV011","Homeowners","Active","2022-12-21","2023-12-16",12,7292.45,607.70,250.00,100000.00,"Semi-Annual",,,"909.0","OR","2022-12-21","2023-03-09"
"POL0000011","PC-AUT-711883","CUST000602","AGT00095","COV001","Auto","Expired","2022-04-12","2024-04-01",24,3360.06,280.00,2500.00,100000.00,"Quarterly",,,"792.0","TX","2022-04-12","2023-01-04"
"POL0000012","PC-AUT-828750","CUST001625","AGT00076","COV007","Auto","Active","2019-02-15","2020-02-10",12,4260.91,355.08,5000.00,50000.00,"Semi-Annual",,,"924.0","MO","2019-02-15","2020-08-21"
"POL0000013","PC-COM-225814","CUST001625","AGT00067","COV029","Commercial","Active","2020-10-16","2022-10-06",24,10248.87,854.07,500.00,500000.00,"Monthly",,,"489.0","TN","2020-10-16","2022-08-31"
"POL0000014","PC-AUT-113056","CUST001318","AGT00134","COV004","Auto","Expired","2018-07-12","2019-07-07",12,2304.54,192.04,250.00,100000.00,"Monthly",,,"852.0","NC","2018-07-12","2019-11-20"
"POL0000015","PC-COM-982564","CUST001387","AGT00020","COV022","Commercial","Pending Renewal","2022-03-08","2023-03-03",12,57440.77,4786.73,500.00,100000.00,"Semi-Annual",,,"441.0","PA","2022-03-08","2022-04-28"
"POL0000016","PC-AUT-433507","CUST001342","AGT00172","COV003","Auto","Expired","2019-09-18","2020-03-16",6,4604.38,383.70,2500.00,1000000.00,"Monthly",,,"644.0","TX","2019-09-18","2020-11-16"
"POL0000017","PC-HOM-752379","CUST000322","AGT00005","COV016","Homeowners","Active","2018-08-17","2019-08-12",12,6889.84,574.15,250.00,100000.00,"Monthly",,,"748.0","TN","2018-08-17","2019-02-01"
"POL0000018","PC-AUT-993228","CUST001716","AGT00027","COV005","Auto","Active","2020-10-18","2021-04-16",6,6122.67,510.22,500.00,500000.00,"Monthly",,,"628.0","CA","2020-10-18","2021-07-27"
"POL0000019","PC-AUT-701854","CUST001993","AGT00095","COV005","Auto","Active","2019-04-05","2019-10-02",6,7200.98,600.08,250.00,500000.00,"Semi-Annual",,,"884.0","IN","2019-04-05","2019-12-12"
"POL0000020","PC-HOM-758684","CUST000463","AGT00095","COV012","Homeowners","Active","2020-04-16","2021-04-11",12,6556.47,546.37,500.00,1000000.00,"Monthly",,,,"CA","2020-04-16","2021-06-18"
"POL0000021","PC-HOM-764664","CUST000311","AGT00120","COV015","Homeowners","Active","2018-12-26","2019-12-21",12,1148.55,95.71,500.00,50000.00,"Monthly",,,"408.0","TX","2018-12-26","2019-04-13"
"POL0000022","PC-AUT-800258","CUST001346","AGT00061","COV005","Auto","Suspended","2020-07-25","2021-01-21",6,3904.93,325.41,2500.00,100000.00,"Monthly",,,"745.0","TX","2020-07-25","2020-11-21"
"POL0000023","PC-AUT-668085","CUST000948","AGT00196","COV007","Auto","Active","2021-07-20","2022-01-16",6,1249.47,104.12,5000.00,250000.00,"Annual",,,"786.0","LA","2021-07-20","2021-12-02"
"POL0000024","PC-AUT-391510","CUST000496","AGT00169","COV005","Auto","Expired","2021-04-14","2023-04-04",24,3283.37,273.61,2500.00,100000.00,"Quarterly",,,"997.0","TN","2021-04-14","2022-08-04"
"POL0000025","PC-AUT-811865","CUST000056","AGT00128","COV001","Auto","Expired","2020-09-29","2021-09-24",12,6773.76,564.48,1000.00,500000.00,"Semi-Annual",,,"528.0","FL","2020-09-29","2021-06-19"
"POL0000026","PC-AUT-541077","CUST000983","AGT00102","COV005","Auto","Active","2019-10-29","2020-10-23",12,7471.26,622.61,2500.00,250000.00,"Monthly",,,"712.0","AZ","2019-10-29","2020-08-23"
"POL0000027","PC-HOM-687474","CUST000590","AGT00065","COV013","Homeowners","Suspended","2018-10-03","2019-09-28",12,2813.73,234.48,250.00,250000.00,"Semi-Annual",,,"417.0","PA","2018-10-03","2020-02-02"
"POL0000028","PC-HOM-456760","CUST001493","AGT00150","COV013","Homeowners","Active","2019-05-02","2019-10-29",6,2212.86,184.41,500.00,1000000.00,"Semi-Annual",,,"911.0","NE","2019-05-02","2020-09-09"
"POL0000029","PC-COM-271158","CUST000362","AGT00032","COV022","Commercial","Active","2022-02-20","2023-02-15",12,74900.50,6241.71,500.00,250000.00,"Annual",,,"555.0","CA","2022-02-20","2022-09-16"
"POL0000030","PC-AUT-253341","CUST000210","AGT00127","COV005","Auto","Expired","2019-01-17","2019-07-16",6,4245.93,353.83,1000.00,50000.00,"Monthly",,,"866.0","MO","2019-01-17","2020-01-05"
"POL0000031","PC-AUT-724700","CUST000270","AGT00172","COV010","Auto","Active","2021-10-13","2022-04-11",6,7332.78,611.06,5000.00,1000000.00,"Monthly",,,"640.0","GA","2021-10-13","2022-05-15"
"POL0000032","PC-AUT-771255","CUST000067","AGT00103","COV007","Auto","Active","2018-07-18","2019-07-13",12,4700.92,391.74,1000.00,1000000.00,"Semi-Annual",,,"593.0","AZ","2018-07-18","2019-03-06"
"POL0000033","PC-AUT-204956","CUST001962","AGT00018","COV002","Auto","Expired","2021-05-21","2023-05-11",24,6880.79,573.40,5000.00,1000000.00,"Quarterly",,,"778.0","KY","2021-05-21","2022-10-22"
"POL0000034","PC-AUT-346570","CUST000881","AGT00038","COV002","Auto","Expired","2022-06-25","2022-12-22",6,1868.89,155.74,250.00,500000.00,"Quarterly",,,"973.0","OH","2022-06-25","2023-01-16"
"POL0000035","PC-HOM-846887","CUST001089","AGT00169","COV016","Homeowners","Expired","2022-07-19","2023-07-14",12,1983.28,165.27,2500.00,100000.00,"Annual",,,"864.0","CO","2022-07-19","2022-09-08"
"POL0000036","PC-AUT-125605","CUST001427","AGT00185","COV003","Auto","Expired","2018-10-31","2019-10-26",12,6678.92,556.58,250.00,500000.00,"Semi-Annual",,,"432.0","CA","2018-10-31","2019-11-20"
"POL0000037","PC-AUT-902057","CUST001363","AGT00049","COV004","Auto","Active","2019-08-24","2020-08-18",12,430.78,35.90,1000.00,250000.00,"Monthly",,,"909.0","NC","2019-08-24","2020-04-24"
"POL0000038","PC-AUT-749512","CUST001581","AGT00154","COV010","Auto","Active","2018-10-05","2019-04-03",6,7776.78,648.06,5000.00,500000.00,"Monthly",,,"907.0","AZ","2018-10-05","2018-11-25"
"POL0000039","PC-AUT-405008","CUST000092","AGT00177","COV005","Auto","Active","2021-03-11","2021-09-07",6,4213.15,351.10,1000.00,100000.00,"Annual",,,"687.0","CA","2021-03-11","2022-04-08"
"POL0000040","PC-AUT-586027","CUST000227","AGT00144","COV007","Auto","Active","2022-07-30","2023-07-25",12,1090.61,90.88,5000.00,250000.00,"Annual",,,"979.0","CA","2022-07-30","2023-09-18"
"POL0000041","PC-HOM-887929","CUST000774","AGT00134","COV011","Homeowners","Active","2022-12-06","2023-06-04",6,826.39,68.87,2500.00,500000.00,"Annual",,,"421.0","CA","2022-12-06","2024-10-17"
"POL0000042","PC-AUT-125693","CUST000388","AGT00005","COV004","Auto","Active","2020-03-07","2020-09-03",6,3149.99,262.50,500.00,500000.00,"Monthly",,,"494.0","KY","2020-03-07","2021-09-08"
"POL0000043","PC-HOM-999273","CUST001482","AGT00129","COV019","Homeowners","Pending Renewal","2019-05-05","2020-04-29",12,8449.19,704.10,250.00,1000000.00,"Quarterly",,,"676.0","NV","2019-05-05","2020-09-30"
"POL0000044","PC-AUT-661988","CUST001060","AGT00056","COV009","Auto","Active","2022-10-30","2023-10-25",12,7899.65,658.30,2500.00,100000.00,"Monthly",,,"479.0","TX","2022-10-30","2023-10-03"
"POL0000045","PC-AUT-155278","CUST001461","AGT00108","COV002","Auto","Active","2021-05-05","2022-04-30",12,6425.89,535.49,500.00,100000.00,"Monthly",,,"488.0","CA","2021-05-05","2022-05-11"
"POL0000046","PC-AUT-267844","CUST001735","AGT00044","COV009","Auto","Expired","2021-10-11","2022-10-06",12,4911.65,409.30,5000.00,100000.00,"Quarterly",,,"758.0","TN","2021-10-11","2022-11-17"
"POL0000047","PC-HOM-411316","CUST000250","AGT00100","COV015","Homeowners","Active","2020-02-10","2021-02-04",12,6975.13,581.26,5000.00,50000.00,"Semi-Annual",,,"494.0","WI","2020-02-10","2021-01-21"
"POL0000048","PC-AUT-558215","CUST001051","AGT00129","COV007","Auto","Active","2018-11-21","2019-11-16",12,3971.84,330.99,2500.00,100000.00,"Semi-Annual",,,"661.0","AZ","2018-11-21","2020-11-04"
"POL0000049","PC-COM-943838","CUST000970","AGT00095","COV025","Commercial","Expired","2020-10-06","2021-04-04",6,49013.18,4084.43,500.00,100000.00,"Quarterly",,,"684.0","MO","2020-10-06","2021-03-29"
"POL0000050","PC-AUT-403011","CUST001772","AGT00129","COV007","Auto","Suspended","2022-05-20","2024-05-09",24,2511.87,209.32,5000.00,50000.00,"Monthly",,,"775.0","CO","2022-05-20","2023-01-09"
"POL0000051","PC-COM-991786","CUST001000","AGT00146","COV021","Commercial","Suspended","2022-09-21","2024-09-10",24,4920.12,410.01,5000.00,500000.00,"Semi-Annual",,,"697.0","AZ","2022-09-21","2023-01-10"
"POL0000052","PC-COM-732272","CUST000250","AGT00054","COV021","Commercial","Suspended","2019-12-14","2020-06-11",6,63748.58,5312.38,250.00,50000.00,"Quarterly",,,"979.0","CO","2019-12-14","2020-06-18"
"POL0000053","PC-HOM-740748","CUST000570","AGT00018","COV011","Homeowners","Active","2019-12-13","2020-06-10",6,5880.39,490.03,5000.00,500000.00,"Monthly",,,"876.0","CA","2019-12-13","2021-06-08"
"POL0000054","PC-AUT-436264","CUST000568","AGT00181","COV007","Auto","Cancelled","2022-01-11","2024-01-01",24,7628.55,635.71,5000.00,500000.00,"Quarterly","2023-04-23","Underwriting","629.0","KY","2022-01-11","2023-09-30"
"POL0000055","PC-COM-269894","CUST000930","AGT00165","COV026","Commercial","Pending Renewal","2022-04-30","2024-04-19",24,20975.71,1747.98,250.00,250000.00,"Semi-Annual",,,"699.0","WI","2022-04-30","2023-10-24"
"POL0000056","PC-AUT-443726","CUST001311","AGT00197","COV010","Auto","Expired","2020-04-06","2021-04-01",12,5140.05,428.34,2500.00,1000000.00,"Monthly",,,"940.0","MO","2020-04-06","2020-10-08"
"POL0000057","PC-HOM-523680","CUST001210","AGT00126","COV014","Homeowners","Active","2022-04-05","2022-10-02",6,3101.76,258.48,5000.00,1000000.00,"Quarterly",,,,"NV","2022-04-05","2022-07-24"
"POL0000058","PC-AUT-746876","CUST001533","AGT00044","COV004","Auto","Expired","2022-07-04","2023-06-29",12,3743.10,311.93,2500.00,250000.00,"Semi-Annual",,,"976.0","NC","2022-07-04","2023-09-26"
"POL0000059","PC-AUT-742185","CUST000741","AGT00109","COV001","Auto","Active","2022-01-22","2022-07-21",6,6298.32,524.86,500.00,250000.00,"Annual",,,"776.0","AK","2022-01-22","2023-08-17"
"POL0000060","PC-COM-180013","CUST001033","AGT00195","COV024","Commercial","Cancelled","2018-04-24","2019-04-19",12,16885.42,1407.12,250.00,50000.00,"Quarterly","2018-09-26","Fraud Suspected","976.0","OK","2018-04-24","2019-06-15"
"POL0000061","PC-HOM-174429","CUST000698","AGT00017","COV012","Homeowners","Active","2020-09-14","2022-09-04",24,6151.36,512.61,500.00,500000.00,"Monthly",,,"695.0","TN","2020-09-14","2022-03-11"
"POL0000062","PC-AUT-720146","CUST001264","AGT00013","COV009","Auto","Active","2022-05-18","2024-05-07",24,1644.92,137.08,250.00,50000.00,"Monthly",,,"936.0","AZ","2022-05-18","2022-11-28"
"POL0000063","PC-AUT-719770","CUST001847","AGT00157","COV004","Auto","Pending Renewal","2018-02-27","2019-02-22",12,1220.87,101.74,2500.00,500000.00,"Semi-Annual",,,"869.0","MO","2018-02-27","2018-10-06"
"POL0000064","PC-AUT-424563","CUST000183","AGT00015","COV009","Auto","Active","2022-06-16","2024-06-05",24,4024.19,335.35,250.00,50000.00,"Annual",,,"902.0","NM","2022-06-16","2024-03-29"
"POL0000065","PC-COM-638584","CUST001116","AGT00037","COV025","Commercial","Active","2018-04-16","2019-04-11",12,45391.49,3782.62,1000.00,500000.00,"Monthly",,,"464.0","PA","2018-04-16","2018-06-28"
"POL0000066","PC-AUT-165389","CUST001467","AGT00006","COV009","Auto","Cancelled","2018-01-07","2018-07-06",6,6770.19,564.18,250.00,50000.00,"Semi-Annual","2018-02-07","Fraud Suspected","441.0","KY","2018-01-07","2018-05-30"
"POL0000067","PC-AUT-434108","CUST001223","AGT00011","COV002","Auto","Suspended","2021-12-09","2022-12-04",12,4932.78,411.06,250.00,50000.00,"Monthly",,,"442.0","AZ","2021-12-09","2022-12-31"
"POL0000068","PC-AUT-745918","CUST000686","AGT00137","COV005","Auto","Active","2018-08-18","2020-08-07",24,6741.48,561.79,250.00,50000.00,"Annual",,,"846.0","TN","2018-08-18","2020-05-07"
"POL0000069","PC-HOM-879809","CUST001179","AGT00102","COV012","Homeowners","Suspended","2022-06-09","2022-12-06",6,2257.91,188.16,250.00,1000000.00,"Monthly",,,"553.0","WA","2022-06-09","2022-10-25"
"POL0000070","PC-HOM-608225","CUST001998","AGT00044","COV018","Homeowners","Pending Renewal","2020-06-05","2020-12-02",6,1581.42,131.78,1000.00,250000.00,"Quarterly",,,,"TX","2020-06-05","2021-07-09"
"POL0000071","PC-HOM-985510","CUST000686","AGT00189","COV016","Homeowners","Expired","2018-11-18","2019-05-17",6,7880.76,656.73,500.00,250000.00,"Quarterly",,,"485.0","HI","2018-11-18","2020-05-08"
"POL0000072","PC-AUT-782463","CUST000479","AGT00039","COV007","Auto","Cancelled","2019-12-09","2020-12-03",12,415.99,34.67,2500.00,100000.00,"Semi-Annual","2020-03-20","Underwriting","701.0","NV","2019-12-09","2020-06-09"
"POL0000073","PC-AUT-102496","CUST000302","AGT00005","COV002","Auto","Cancelled","2021-07-12","2022-07-07",12,2728.61,227.38,2500.00,50000.00,"Semi-Annual","2021-11-18","Insured Request","527.0","CA","2021-07-12","2023-04-25"
"POL0000074","PC-AUT-393679","CUST001192","AGT00148","COV001","Auto","Suspended","2018-08-05","2019-07-31",12,4041.86,336.82,500.00,100000.00,"Monthly",,,"873.0","PA","2018-08-05","2019-12-18"
