claim_id|claim_number|policy_id|loss_date|fnol_date|reported_date|peril_type|loss_description|claim_status|reserve_amount|settlement_amount|close_date|adjuster_id|adjuster_notes|subrogation_flag|fraud_flag|cat_event_name|litigation_flag|created_date|modified_date
CLM00000001|CLM-2024-5195751|POL9000033|2021-08-29|2021-09-10|2021-09-10|Hail|Hail related loss reported by policyholder|Under Review||||ADJ8192||Y|N||N|2021-09-10|2022-02-13
CLM00000002|CLM-2024-9165542|POL9000022|2023-03-04|2023-03-30|2023-03-30|Wind/Hail|Wind/Hail related loss reported by policyholder|Open|82250.34|||||N|N||N|2023-03-30|2023-04-30
CLM00000003|CLM-2024-3809549|POL9000022|2022-07-29|2022-09-06|2022-09-06|Pipe Burst|Pipe Burst related loss reported by policyholder|Pending|135091.73|||ADJ1235|Initial inspection completed. Damage confirmed.|N|N||N|2022-09-06|2022-12-13
CLM00000004|CLM-2024-2952000|POL9000048|2021-01-16|2021-01-16|2021-01-16|Fire|Fire related loss reported by policyholder|Open|147439.48|||ADJ3441||N|N||N|2021-01-16|2021-02-10
CLM00000005|CLM-2024-1448893|POL9000035|2020-11-23|2020-12-03|2020-12-03|General Liability|General Liability related loss reported by policyholder|Denied|96260.77|||ADJ7625|Third party involved.|N|N||N|2020-12-03|2021-02-28
CLM00000006|CLM-2024-6315296|POL9000017|2022-09-08|2022-10-15|2022-10-15|Hail|Hail related loss reported by policyholder|Open|30254.26|||ADJ8866|Awaiting appraisal.|Y|N||N|2022-10-15|2022-12-04
CLM00000007|CLM-2024-9411325|POL9000007|2021-01-24|2021-03-10|2021-03-10|Property Damage|Property Damage related loss reported by policyholder|Denied|28391.01|||ADJ6552|Documentation pending.|Y|N||N|2021-03-10|2021-08-08
CLM00000008|CLM-2024-6493094|POL9000031|2023-02-11|2023-05-22|2023-05-22|Wind/Hail|Wind/Hail related loss reported by policyholder|Closed|35150.96|11238.83|2023-06-27|ADJ2749||N|N||N|2023-05-22|2023-05-28
CLM00000009|CLM-2024-2998238|POL9000026|2020-11-30|2020-12-17|2020-12-17|Foundation Damage|Foundation Damage related loss reported by policyholder|Under Review|7867.9|||ADJ6008||N|N||N|2020-12-17|2021-04-11
CLM00000010|CLM-2024-3125543|POL9000009|2020-07-06|2020-07-07|2020-07-07|Hit and Run|Hit and Run related loss reported by policyholder|Denied|105832.43|||ADJ8244|Initial inspection completed. Damage confirmed.|Y|N||N|2020-07-07|2021-01-03
CLM00000011|CLM-2024-2297433|POL9000033|2022-05-25|2022-06-22|2022-06-22|Fire|Fire related loss reported by policyholder|Closed|81037.72|76320.52|2022-08-29|ADJ6083||N|N||N|2022-06-22|2022-08-05
CLM00000012|CLM-2024-2682496|POL9000003|2021-03-05|2021-03-06|2021-03-06|Water Damage|Water Damage related loss reported by policyholder|Open|14506.02|||ADJ7151|Documentation pending.|N|N||N|2021-03-06|2021-06-24
CLM00000013|CLM-2024-5337728|POL9000014|2021-08-01|2021-09-11|2021-09-11|Vandalism|Vandalism related loss reported by policyholder|Settled|74924.77|71520.98|2021-11-30|ADJ6625||Y|N||N|2021-09-11|2022-01-25
CLM00000014|CLM-2024-4254999|POL9000049|2023-03-11|2023-03-17|2023-03-17|Fire|Fire related loss reported by policyholder|Pending|9263.29||||Initial inspection completed. Damage confirmed.|N|N||N|2023-03-17|2023-09-12
CLM00000015|CLM-2024-9949179|POL9000036|2021-07-30|2021-07-31|2021-07-31|Foundation Damage|Foundation Damage related loss reported by policyholder|Closed|26185.63|24474.36|2022-01-08|ADJ4007||N|N||N|2021-07-31|2021-10-22
CLM00000016|CLM-2024-5186454|POL9000012|2022-09-27|2022-10-10|2022-10-10|Lightning|Lightning related loss reported by policyholder|Withdrawn|146492.82|||ADJ7450||N|N||N|2022-10-10|2023-03-02
CLM00000017|CLM-2024-2606254|POL9000029|2020-08-04|2020-09-06|2020-09-06|Rear-end Collision|Rear-end Collision related loss reported by policyholder|Withdrawn|68088.7|||ADJ8229||N|N||N|2020-09-06|2020-11-15
CLM00000018|CLM-2024-3065827|POL9000003|2021-07-19|2021-08-03|2021-08-03|Flood|Flood related loss reported by policyholder|Closed|48497.14|32007.18|2022-03-23|ADJ9544||N|N||N|2021-08-03|2021-11-28
CLM00000019|CLM-2024-5460427|POL9000014|2020-10-22|2020-11-05|2020-11-05|Rear-end Collision|Rear-end Collision related loss reported by policyholder|Settled|127085.84|130688.11|2021-01-03|ADJ2016|Documentation pending.|N|N||N|2020-11-05|2020-11-22
CLM00000020|CLM-2024-2029822|POL9000007|2023-03-03|2023-03-13|2023-03-13|Lightning|Lightning related loss reported by policyholder|Denied|87722.15||||Awaiting appraisal.|N|N||N|2023-03-13|2023-08-30
